eu_id,date2,exp_year,dm_type,dm_gm2
32703,2019-11-13,y2_fall,volunteer,NA
32705,2018-11-15,y1_fall,grass_cl,0
32705,2018-11-15,y1_fall,weeds,0
32705,2018-11-15,y1_fall,radish,NA
32705,2018-11-15,y1_fall,volunteer,285.19
32705,2019-11-13,y2_fall,grass_cl,198.89
32705,2019-11-13,y2_fall,weeds,101.14
32705,2019-11-13,y2_fall,radish,NA
32705,2019-11-13,y2_fall,volunteer,NA
32706,2018-11-15,y1_fall,grass_cl,NA
32706,2018-11-15,y1_fall,weeds,0.83
32706,2018-11-15,y1_fall,radish,16.23
32706,2018-11-15,y1_fall,volunteer,286.98
32706,2019-11-13,y2_fall,grass_cl,NA
32706,2019-11-13,y2_fall,weeds,79.39
32706,2019-11-13,y2_fall,radish,22.35
32706,2019-11-13,y2_fall,volunteer,NA
32801,2018-11-15,y1_fall,grass_cl,NA
32801,2018-11-15,y1_fall,weeds,0
32801,2018-11-15,y1_fall,radish,169.88
32801,2018-11-15,y1_fall,volunteer,118.62
32801,2019-11-13,y2_fall,grass_cl,NA
32801,2019-11-13,y2_fall,weeds,38.83
32801,2019-11-13,y2_fall,radish,63.41
32801,2019-11-13,y2_fall,volunteer,NA
32802,2018-11-15,y1_fall,grass_cl,20.45
32802,2018-11-15,y1_fall,weeds,7.06
32802,2018-11-15,y1_fall,radish,NA
32802,2018-11-15,y1_fall,volunteer,145.16
32802,2019-11-13,y2_fall,grass_cl,65.61
32802,2019-11-13,y2_fall,weeds,27.84
32802,2019-11-13,y2_fall,radish,NA
32802,2019-11-13,y2_fall,volunteer,NA
32803,2018-11-15,y1_fall,grass_cl,NA
32803,2018-11-15,y1_fall,weeds,0.66
32803,2018-11-15,y1_fall,radish,NA
32803,2018-11-15,y1_fall,volunteer,222.82
32803,2019-11-13,y2_fall,grass_cl,NA
32803,2019-11-13,y2_fall,weeds,60.08
32803,2019-11-13,y2_fall,radish,NA
32803,2019-11-13,y2_fall,volunteer,NA
32805,2018-11-15,y1_fall,grass_cl,1.13
32805,2018-11-15,y1_fall,weeds,0.83
32805,2018-11-15,y1_fall,radish,NA
32805,2018-11-15,y1_fall,volunteer,259.69
32805,2019-11-13,y2_fall,grass_cl,5.94
32805,2019-11-13,y2_fall,weeds,56.96
32805,2019-11-13,y2_fall,radish,NA
32805,2019-11-13,y2_fall,volunteer,NA
32806,2018-11-15,y1_fall,grass_cl,NA
32806,2018-11-15,y1_fall,weeds,0.66
32806,2018-11-15,y1_fall,radish,28.72
32806,2018-11-15,y1_fall,volunteer,226.11
32806,2019-11-13,y2_fall,grass_cl,NA
32806,2019-11-13,y2_fall,weeds,92.27
32806,2019-11-13,y2_fall,radish,26.07
32806,2019-11-13,y2_fall,volunteer,NA
34101,2018-11-15,y1_fall,grass_cl,NA
34101,2018-11-15,y1_fall,weeds,0.63
34101,2018-11-15,y1_fall,radish,NA
34101,2018-11-15,y1_fall,volunteer,130.46
